consolidated_longitude,consolidated_latitude,nbre_pdc,puissance_nominale
-4.77,48.361,2,22.0
-4.765,48.513,2,22.0
-4.764,48.449,2,22.0
-4.758,48.521,2,50.0
-4.75,48.475,2,22.0
-4.733,48.433,2,22.0
-4.723,48.403,2,22.0
-4.72,48.342,2,22.0
-4.7,48.558,2,22.0
-4.687,48.509,2,22.0
-4.659,48.542,2,22.0
-4.65,48.048,2,22.0
-4.646,48.469,2,22.0
-4.643,48.374,2,22.0
-4.64,48.468,2,22.0
-4.621,48.434,2,22.0
-4.61,48.568,2,22.0
-4.602,48.525,2,22.0
-4.601,48.38,4,22.0
-4.599,48.428,2,50.0
-4.595,48.275,2,22.0
-4.591,48.056,2,22.0
-4.575,48.588,2,22.0
-4.565,48.467,2,22.0
-4.564,48.359,4,22.0
-4.559,48.424,4,22.0
-4.556,48.619,2,22.0
-4.555,48.027,2,22.0
-4.544,48.378,4,22.0
-4.538,48.553,2,22.0
-4.537,48.027,2,22.0
-4.532,48.386,4,22.0
-4.528,48.411,4,22.0
-4.523,48.57,2,22.0
-4.522,48.388,4,22.0
-4.514,48.426,4,22.0
-4.512,48.075,2,22.0
-4.508,48.285,2,22.0
-4.507,48.226,2,22.0
-4.507,48.499,2,22.0
-4.504,48.607,2,22.0
-4.497,48.238,2,22.0
-4.492,48.248,2,22.0
-4.488,48.043,2,22.0
-4.486,48.014,2,22.0
-4.486,48.041,2,22.0
-4.485,48.383,4,22.0
-4.483,48.387,4,22.0
-4.48,48.413,4,25.0
-4.475,48.415,2,60.0
-4.474,48.427,1,22.0
-4.472,48.251,12,22.0
-4.47,48.43,2,22.0
-4.47,48.431,36,22.0
-4.469,48.411,4,50.0
-4.468,48.414,2,7.0
-4.468,48.42,16,50.0
-4.466,48.431,4,22.0
-4.466,48.45,4,22.0
-4.465,48.416,2,22.0
-4.463,48.419,2,22.0
-4.461,48.286,2,22.0
-4.459,48.448,16,250.0
-4.457,48.42,4,22.0
-4.457,48.43,2,7.0
-4.451,48.531,2,22.0
-4.444,48.418,4,22.08
-4.444,48.419,24,50.0
-4.436,48.388,4,22.0
-4.435,48.388,4,22.0
-4.431,48.498,2,22.0
-4.424,47.986,2,22.0
-4.419,48.248,2,50.0
-4.416,48.443,10,60.0
-4.415,48.081,2,22.0
-4.411,48.633,2,22.0
-4.408,48.4,6,22.0
-4.408,48.437,4,22.0
-4.4,48.436,4,22.0
-4.392,48.402,4,22.0
-4.377,48.382,6,22.0
-4.376,47.817,2,22.0
-4.374,48.472,2,22.0
-4.371,48.372,4,22.0
-4.367,48.645,2,22.0
-4.355,48.231,2,22.0
-4.35,48.384,2,22.0
-4.348,48.383,24,22.0
-4.346,48.091,14,22.0
-4.342,48.096,2,22.0
-4.338,48.001,2,22.0
-4.335,48.562,2,22.0
-4.33,48.092,2,22.0
-4.327,48.044,2,22.0
-4.327,48.665,2,22.0
-4.321,48.087,2,22.0
-4.32,48.573,2,22.0
-4.318,48.082,2,22.0
-4.318,48.246,2,22.0
-4.316,48.428,2,22.0
-4.312,48.538,2,22.0
-4.307,48.383,2,50.0
-4.299,48.609,2,22.0
-4.299,48.611,2,22.0
-4.289,48.482,2,50.0
-4.287,47.819,4,22.0
-4.285,47.842,2,22.0
-4.28,47.796,2,22.0
-4.28,47.902,2,22.0
-4.277,47.795,2,22.0
-4.271,47.982,2,22.0
-4.271,48.398,2,22.0
-4.262,48.361,2,22.0
-4.261,48.445,2,22.0
-4.258,48.359,2,22.08
-4.257,48.066,2,22.0
-4.256,48.454,2,22.0
-4.252,48.449,2,22.0
-4.237,47.871,2,22.0
-4.235,48.181,2,22.0
-4.229,47.824,2,22.0
-4.225,47.863,2,22.0
-4.225,47.871,2,22.0
-4.224,47.866,2,22.0
-4.221,48.125,2,22.0
-4.218,47.88,2,50.0
-4.214,48.37,2,22.0
-4.212,48.098,2,22.0
-4.211,48.514,2,22.0
-4.211,48.617,2,22.0
-4.207,48.016,2,22.0
-4.204,48.472,2,22.0
-4.19,48.077,2,22.0
-4.181,47.979,2,22.0
-4.177,48.294,2,22.0
-4.176,48.658,2,22.0
-4.175,47.832,2,22.0
-4.17,48.299,6,60.0
-4.168,47.845,2,22.0
-4.165,48.219,2,22.0
-4.161,48.328,2,22.0
-4.153,47.935,2,22.0
