[-0.001,45.015];22000;1
[-0.001,44.912];22000;2
[-0.001,44.981];22000;1
[-0.002,42.874];22000;2
[-0.003,45.013];22000;1
[-0.004,46.661];18;2
[-0.005,42.872];18;1
[-0.006,49.324];22000;2
[-0.007,44.945];22000;1
[-0.007,45.954];43;2
[-0.009,49.141];22;5
[-0.01,49.141];18;3
[-0.011,42.735];18;1
[-0.011,42.863];22;2
[-0.013,48.753];50000;3
[-0.013,45.157];22000;2
[-0.014,43.375];22000;1
[-0.02,46.881];22000;2
[-0.023,44.94];22000;1
[-0.024,47.109];11;2
[-0.025,48.318];11;1
[-0.029,49.016];22;4
[-0.029,49.306];22;3
[-0.029,43.127];22;1
[-0.03,43.769];22000;2
[-0.031,45.015];22000;1
[-0.031,43.112];22;2
[-0.031,49.021];22000;3
[-0.031,44.879];22000;1
[-0.031,44.914];22;2
[-0.032,43.758];22;2
[-0.032,43.77];22;1
[-0.032,45.059];22000;2
[-0.035,44.582];22000;1
[-0.036,44.584];22000;2
[-0.037,44.582];22000;1
[-0.037,49.02];22;2
[-0.038,49.019];120;6
[-0.039,43.109];22000;2
[-0.041,44.391];22000;1
[-0.042,43.102];22;2
[-0.042,49.233];22000;3
[-0.042,44.854];22000;1
[-0.042,43.1];22000;2
[-0.043,44.852];22000;1
[-0.044,43.95];18;2
[-0.044,47.071];18;1
[-0.045,45.331];22;2
[-0.045,49.23];22;3
[-0.046,48.973];18;3
[-0.046,43.092];18;1
[-0.046,43.093];22;2
[-0.048,49.188];18;3
[-0.048,43.093];18;1
[-0.05,45.6];18;2
[-0.052,43.099];18;1
[-0.053,43.095];22000;2
[-0.053,43.253];22000;1
[-0.054,45.6];18;2
[-0.055,43.096];18;1
[-0.056,47.326];22000;4
[-0.057,45.015];22000;1
[-0.058,45.6];22;2
[-0.061,48.607];22;1
[-0.062,44.879];22000;2
[-0.064,44.898];22000;1
[-0.064,43.934];22000;2
[-0.064,44.982];22000;1
[-0.064,45.774];22;2
[-0.065,47.272];22000;5
[-0.065,45.776];22000;1
[-0.066,44.584];22;6
[-0.066,48.615];22;2
[-0.066,48.616];22;2
[-0.066,47.223];22;2
[-0.067,48.615];22;2
[-0.067,48.614];18;2
[-0.069,42.963];18;1
[-0.07,47.252];7;3
[-0.071,44.947];50;3
[-0.072,47.698];43;1
[-0.072,47.256];22;4
[-0.073,49.072];22;3
[-0.074,48.925];22;3
[-0.074,47.264];22000;3
[-0.074,44.925];22000;1
[-0.075,49.302];22;4
[-0.075,43.935];22;1
[-0.076,43.07];18;2
[-0.076,42.959];18;1
[-0.079,48.355];22;2
[-0.08,48.976];22;3
[-0.081,47.258];22000;3
[-0.082,45.696];22000;1
[-0.083,49.136];22000;4
[-0.084,44.692];22000;1
[-0.086,43.657];50;2
[-0.087,47.697];43;1
[-0.089,44.694];22;2
[-0.09,45.034];22;1
[-0.091,47.249];22000;4
[-0.093,45.737];22000;1
[-0.094,47.266];18;6
[-0.095,43.007];18;1
[-0.096,44.949];22000;2
[-0.098,45.07];22000;1
[-0.099,48.4];22;2
[-0.099,49.288];22;3
[-0.1,47.264];18;3
[-0.1,43.009];18;1
[-0.102,49.122];22;4
[-0.102,47.54];18;3
[-0.103,43.004];18;1
[-0.106,47.543];22000;4
[-0.107,45.882];22000;1
