Lucid Air Dream Edition R	685Average
Lucid Air Grand Touring	665Average
Lucid Air Dream Edition P	645Average
Mercedes EQS 450+	640Average
Mercedes EQS 450 4MATIC	615Average
Mercedes EQS 500 4MATIC	605Average
Mercedes EQS 580 4MATIC	605Average
Tesla Model S Dual Motor	570Average
Mercedes EQS AMG 53 4MATIC+	565Average
Lucid Air Pure	560Average
Lucid Air Touring	550Average
Tesla Model S Plaid	550Average
Mercedes EQE 350+	525Average
Audi Q8 e-tron Sportback 55 quattro	525Average
VinFast VF 9 Extended Range	520Average
Lotus Eletre	520Average
Mercedes EQE 300	515Average
Mercedes EQE 350	515Average
BMW i7 xDrive60	510Average
Fisker Ocean Extreme	510Average
Fisker Ocean One	510Average
Fisker Ocean Ultra	505Average
BMW iX xDrive50	505Average
NIO ET7 100 kWh	505Average
XPENG P7 RWD Long Range	500Average
Mercedes EQE 350 4MATIC	500Average
Mercedes EQE 500 4MATIC	500Average
Mercedes EQS SUV 450+	495Average
Audi Q8 e-tron 55 quattro	495Average
NIO ET5 100 kWh	495Average
Polestar 3 Long Range Dual motor	490Average
Mercedes EQS SUV 500 4MATIC	485Average
BMW iX M60	485Average
Tesla Model 3 Long Range Dual Motor	485Average
Mercedes EQE AMG 43 4MATIC	485Average
Mercedes EQS SUV 450 4MATIC	485Average
Mercedes EQS SUV 580 4MATIC	485Average
Mercedes EQE AMG 53 4MATIC+	480Average
Porsche Taycan Plus	475Average
Hyundai IONIQ 6 Long Range 2WD	475Average
XPENG P7 AWD Performance	470Average
XPENG G9 RWD Long Range	470Average
Tesla Model X Dual Motor	470Average
Polestar 3 Long Range Performance	470Average
Mercedes EQE SUV 350+	470Average
BMW i4 eDrive40	470Average
Audi SQ8 e-tron Sportback	470Average
XPENG P7 Wing Edition	465Average
BYD HAN	465Average
Tesla Model 3 Performance	460Average
Porsche Taycan 4S Plus	460Average
Tesla Model X Plaid	455Average
Ford Mustang Mach-E ER RWD	455Average
Mercedes EQE SUV 350 4MATIC	455Average
Mercedes EQE SUV 500 4MATIC	455Average
Rolls-Royce Spectre	455Average
Volvo EX90 Twin Motor	455Average
Porsche Taycan GTS	450Average
Lotus Eletre R	450Average
CUPRA Born 170 kW - 77 kWh	450Average
Volkswagen ID.3 Pro S - 4 Seats	450Average
Nissan Ariya 87kWh	445Average
Porsche Taycan Plus Sport Turismo	445Average
Skoda Enyaq Coupe iV 80	445Average
Audi SQ8 e-tron	445Average
Polestar 2 Long Range Single Motor	440Average
XPENG G9 AWD Long Range	440Average
Genesis G80 Electrified Luxury	440Average
Hyundai IONIQ 6 Long Range AWD	440Average
Ford Mustang Mach-E ER AWD	440Average
Audi Q8 e-tron Sportback 50 quattro	440Average
Volvo EX90 Twin Motor Performance	440Average
Tesla Model Y Long Range Dual Motor	435Average
Mercedes EQE SUV AMG 43 4MATIC	435Average
BMW i4 M50	435Average
Volkswagen ID.5 Pro	430Average
Volkswagen ID.5 Pro Performance	430Average
Porsche Taycan 4S Plus Sport Turismo	430Average
Skoda Enyaq Coupe iV 80x	430Average
NIO EL7 100 kWh	430Average
